episode,total_reward,env_reward,pos_reward,epsilon,duration,steps,scores_made,scores_against
322,62.261000,-13.000000,51.261000,0.523799,139.268161,2073,659,6783
323,26.793750,-20.000000,43.793750,0.522752,119.179340,1765,660,6804
324,47.529000,-17.000000,52.529000,0.521706,142.119573,2111,664,6825
325,37.267500,-20.000000,54.267500,0.520663,147.860862,2186,665,6846
326,56.409750,-17.000000,61.409750,0.519621,166.222361,2473,669,6867
327,38.322750,-17.000000,43.322750,0.518582,117.396476,1749,673,6888
328,31.515750,-19.000000,44.515750,0.517545,122.097942,1805,675,6909
329,54.740750,-17.000000,59.740750,0.516510,164.749377,2408,679,6930
330,47.178000,-17.000000,52.178000,0.515477,143.655272,2111,683,6951
331,46.329500,-16.000000,47.329500,0.514446,127.983571,1905,688,6972
332,40.209000,-16.000000,41.209000,0.513417,112.372767,1667,693,6993
333,87.858500,-13.000000,76.858500,0.512390,209.937131,3097,701,7014
334,63.853250,-13.000000,52.853250,0.511365,144.565051,2130,709,7035
335,88.990000,-10.000000,65.990000,0.510343,181.856980,2661,720,7056
336,69.018000,-16.000000,70.018000,0.509322,191.168131,2814,725,7077
337,31.934000,-18.000000,40.934000,0.508303,112.575440,1658,728,7098
338,45.592500,-18.000000,54.592500,0.507287,149.677481,2198,731,7119
339,53.910500,-15.000000,50.910500,0.506272,139.696632,2056,737,7140
340,19.212750,-21.000000,40.212750,0.505260,110.256797,1618,737,7161
341,48.726500,-18.000000,57.726500,0.504249,158.033784,2325,740,7182
342,50.238000,-17.000000,55.238000,0.503241,151.982464,2235,744,7203
343,60.037750,-16.000000,61.037750,0.502234,166.361502,2452,749,7224
344,54.236500,-15.000000,51.236500,0.501230,140.122955,2060,755,7245
345,28.630000,-19.000000,41.630000,0.500227,114.606927,1681,757,7266
346,38.004500,-18.000000,47.004500,0.499227,128.514519,1892,760,7287
347,70.309500,-16.000000,71.309500,0.498228,196.366507,2876,765,7308
348,47.503250,-17.000000,52.503250,0.497232,144.512549,2117,769,7329
349,68.212750,-14.000000,61.212750,0.496237,168.317605,2462,776,7350
350,54.647500,-18.000000,63.647500,0.495245,174.426435,2560,779,7371
351,44.493000,-17.000000,49.493000,0.494254,137.037877,1999,783,7392
352,40.570250,-19.000000,53.570250,0.493266,148.090820,2159,785,7413
353,72.197250,-15.000000,69.197250,0.492279,192.822350,2785,791,7434
354,50.925250,-15.000000,47.925250,0.491295,132.884871,1944,797,7455
355,67.869250,-15.000000,64.869250,0.490312,180.468311,2605,803,7476
356,79.323500,-12.000000,64.323500,0.489332,183.712869,2588,812,7497
357,79.078500,-13.000000,68.078500,0.488353,187.754308,2741,820,7518
358,52.031250,-17.000000,57.031250,0.487376,158.111162,2298,824,7539
359,65.027250,-14.000000,58.027250,0.486401,160.789997,2343,831,7560
360,37.929000,-18.000000,46.929000,0.485429,131.069943,1896,834,7581
361,62.846500,-16.000000,63.846500,0.484458,176.787247,2575,839,7602
362,99.687750,-10.000000,76.687750,0.483489,212.400861,3086,850,7623
363,54.796750,-18.000000,63.796750,0.482522,176.320034,2566,853,7644
364,49.539500,-16.000000,50.539500,0.481557,140.919611,2032,858,7665
365,36.437000,-18.000000,45.437000,0.480594,125.486653,1834,861,7686
366,44.268750,-17.000000,49.268750,0.479633,136.677314,1990,865,7707
367,63.879500,-13.000000,52.879500,0.478673,146.649101,2132,873,7728
